Title,Ingredients
tulang ayam pedas manis,"tulang ayam bersihkan potong , cabe merah keriting , cabe rawit suka pedas , bawang merah , bawang putih , kunyit , daun salam , daun jeruk , serai , jahe , jeruk nipis , kaldu bubuk , gula pasir , kecap manis , air merebus tulang , minyak menumis"
ayam penyet rumahan,"ayam negri ptng air jeruk nipis , jeruk nipis , bumbu ayam goreng , daun salam , daun jeruk , btng serai geprek , garam penyedap , minyak goreng , sambel penyet , cabe rawit merah , cabe merah , bawang putih , bawang merah goreng , penyedap gula"
sop ayam,"ayam potong , ceker ayam bersihkan , kentang , wortel , mangkok makaroni rebus , batang daun bawang , batang daun seledri , bumbu dihaluskan , bawang merah , bawang putih , tambahan , lada , garam , penyedap suns pake gula"
nugget ayam home made,"ayam fillet ambil dagingnya , wortel , daun bawang prei , bawang putih , bawang merah , merica , tepung tapioka , telur ayam , garam , penyedap , tepung roti tepung panir"
ayam koloke,"ayam fillet , potong potong , tepung bumbu larutkan dgn air , tepung terigu , maizena , saus , butter margarin , bawang putih , cincang halus , bawang bombai halus , wortel potong korek api , timun buang biji korek api , btg daun bawang potong , cabe merah serong , cabe rawit serong , saus tomat , saus tiram , minyak wijen , air lemon jeruk nipis cuka masak , air , garam , lada , gula , maizena larutlan dgn air"
mie tulang ayam,"tulang ayam , mie burung dara , bawang putih , bawang merah , cabe rawit , tangkai daun bawang , tangkai seledri , merica bubuk , saos cabe , kecap manis , gula garam , minyak menumis"
ayam suir bali ( bemesere bali ),"dada ayam rebus , minyak goreng , bumbu , cabai merah , tomat , cabe rawit , garam , gula jawa , terasi bakar , perasan jeruk limo , daun jeruk"
pindang ayam jadul,"ayam , bawang merah halus , cabe rawit halus , jahe , lengkuas , kunyit , asam jawa , terasi bangka panggang , tomat potong , daun kemangi me"
ayam kacang panjang saos hoisin,"daging , paha atas dada ayam , kecap asin , arak beras , tapioka , saos , kacang panjang , bawang putih cincang halus , jahe , saos hoisin , kecap asin , micin , air , larutan tapioka"
tongseng ayam,"daging ayam potong , santan kelapa pisahkan kental , daun jeruk , daun salam , lengkuas , serai geprek , cabe rawit hijau , batang daun bawang potong serong , tomat potong , kecap manis , kentang potong , kol tebal , garam , kaldu bubuk , gula pasir , bawang goreng taburan , minyak menumis , bumbu halus , bawang merah , bawang putih , jahe , kunyit , ketumbar , merica , kemiri , cabai merah"
ayam penyet sambel kemangi,"dada ayam , daun kemangi , timun , bumbu racik tempe , sambel , cabe merah , cabe rawit , bamer , bawang putih , gula , garam , tomat merah , terasi , minyak utk , air utk mengungkep ayam"
nugget ayam wortel,"daging ayam giling , wortel , bawang bombai , bawang putih , batang daun bawang , telur ayam , tepung terigu , tepung roti , garam , lada , penyedap ayam , minyak goreng"
ayam goreng pedas gila ala kfc,"ayam , tepung bumbu pedas pke sajiku , air es , minyak goreng"
chicken teriyaki,"daging ayam memanjang , bawang bombai , memanjang , gula , garan , air , minyak menumis , bumbu perendam , saus teriyaki , saus tiram , kecap manis , minyak wijen , bawang putih , haluskan , jahe , haluskan , merica , kaldu bubuk"
ayam kecap pedas jeruk limao,"ayam potong , daun salam , jahe , daun jeruk , buang tulangnya , jeruk limao , air perasn jeruk nipis , garam , merica , gula pasir , kaldu bubuk , kecap manis , air , bawang bombai , bumbu halus , bawang putih , bawang merah , cabe keriting merah , cabe rawit merah"
resep ayam kecap rumahan,"ayam , bumbu haluskan , bawang putih , bawang merah , cabe rawit cabe merah , jahe , lada pala , lengkuas , kemiri"
sop ayam garang asam,"ayam , serai , jahe , cabe rawit merah , bawang putih , bawang merah , tomat hijau , jeruk nipis , daun jeruk , daun bawang , garam , penyedap , air matang"
ayam goreng krutuk,"tepung terigu , air matang , ayam direbus , garam , gula penyedap , lada , telur ayam , minyak goreng"
ayam panggang saos kecap,"bumbu ayam panggang , ayam potong , bawang merah , ulek halus , bawang putih , ulek halus , kunyit , garam , ulek halus , olesan ayam , kecap manis , saus tomat , minyak , dicampur , saos kecap cocolan , kecap manis , bawang merah , melintang tebal , bawang putih , ulek halus , cabe rawit , ulek halus , tomat potong , jeruk nipis , arang memanggang ayam"
soto ayam kuah santan,"ayam diungkep , digoreng , santan kara , kunyit , jahe , lada , daun salam , lengkuas , daun jeruk serai , bawang merah , bawang putih , penyedap gula , garam royko ayam , pelengkap , tomat , daun bawang seledri , bihun rebus , bawang goreng , kol potong tipis , tahu goreng , kerupuk , bawang goreng , jeruk nipis , sambal cabe rawit , bawang putih merah rebus , diulek"
ayam goreng bumbu kuning,"potong ayam , air , minyak goreng , bumbu halus , bawang putih , kunyit , jahe , ketumbar , garam"
mie geprek ( mie + ayam geprek ),"mie burung dara , dada ayam , tepung terigu , kubis , bawang putih , kecap , royco sapi , garam , ebi , minyak wijen , saus tiram , lada , minyak goreng , air , cabe rawit , bawang merah"
seblak mie tulang ayam,"mie burung dara , tulang ayam sisa filet daging ny , sawi hijau , sawi putih , garam , gula , halus , bawang merah , bawang putih , cabe keritinh , cabe rawit , kencur"
sweet buffalo chicken,"paha ayam potong , bumbu ayam , garam , lada , paprika bubuk , tepung terigu , bumbu saus , margarin unsalted , bawang putih bubuk , gula merah bubuk , saus tomat , saus sambal , garam , wijen"
ayam garang asem,"ayam , daun pisang , santan kara , jeruk nipis , bumbu rajang , cabai rawit , cabai merah , tomat hijau , bawang merah , bawang putih , tambahan , laos , jahe , daun jeruk , daun salam , serai , garam gulpas air minyak goreng"
ayam asam manis rumahan citarasa resto,"dada ayam , potong dadu , paprika merah hijau , nanas , potong dadu , bawang bombai , bawang putih , geprek , minyak bawang utk menumis , air tepung sagu , perbandingan , saos asam manis , saos tomat , saos sambal , saos lea perrins , gula pasir , kaldu ayam , garam , kecap inggris , minyak wijen , maggie seasoning , saos raja , bumbu marinasi ayam , gula pasir , garam , kaldu ayam , merica"
ayam goreng tepung simple,"ayam dada potong , bawang putih haluskan , lada , kaldu bubuk , garam , telur , tepung , tepung terigu , tepung meizena"
sop balungan ayam,"tulang ayam jowo , rebus dg api , bumbu ulek , bawang putih , merica bubuk , pala , cengkeh , garam dg penggunaan air , kaldu jamur , gula , sayur , wortel , tipis , kentang , potong dadu , bonggol sawi , seledri daun bawang , pelengkap bawang merah goreng"
ayam goreng lepas tulang lembut,"ayam , bawang putih , laos , jahe , daun salam , serai , daun jeruk"
sayap goreng bumbu ngo hiang,"sayap ayam drum stick , air jeruk nipis lemon , garam , bumbu ngo hiang , tetes suclarose stevia drop"
semur ayam kampung,"ayam kampung , bawang putih , bawang merah , kemiri , jahe , daun jeruk , daun salam , serai digeprek , lengkuas , kunyit , biji ketumbar , merica bubuk , garam , gula pasir , royco , kecap manis , air kaldu ayam kampung , minyak goreng"
ayam tepung kfc super gurih,"potong ayam paha atas paha , air lemon , black papper , garam , tepung terigu serba , tepung maizena , oregano , garam , masako ayam , bubuk cabai , pencelup , tepung terigu , bubuk cabai , garam , lada putih , air es"
soto ayam surabaya,"ayam , bawang merah , bawang putih , ketumbar , lada , kunyit , lengkuas , jahe , kemiri , daun salam , daun jeruk , gula , garam , penyedap , daun bawang , kol , tauge , kentang , telur rebus , sambal rebus"
ayam suwir ala bali / ayam sisit,"fillet ayam kulit , minyak wijen , kecap ikan , saos tiram , unsalted butter menumis , bumbu dihaluskan , bawang merah , bawang putih , kencur , kunyit , rawit merah , udang rebon , garam"
