Title,Ingredients
chicken geprek sambel ijo,"dada ayam chicken , sambel , cabe rawit ijo , bawang putih , cabe ijo , garem , minyak goreng"
bakso ayam + wortel,"ayam cincang , wortel parut , batang daun bawang potong halus , lada hitam , putih halus , kaldu ayam bubuk , garam , telur , tepung tapioka"
chicken veggie rolade ( rolade ayam sayur ) menu diet no tepung no kulit,"dada ayam utuh fillet , buncis wortel campur , garam , bawang putih , ujung jahe , ketumbar , jeruk nipis , telur utk goreng , kocok , minyak"
mie ayam bumbu kuning,"mie mie basah , mie telur mie khusus mie ayam , sawi hijau , dada ayam , ltr air merebus ayam , air menumis ayam bumbu kuning , ltr air merebus mie sawi , minyak sayur mengaduk mie , minyak menumis , bumbu , kunyit , jahe , lengkuas , serai serai , bawang merah , bawang putih , kemiri , daun jeruk , daun salam , bumbu kering , garam , kaldu bubuk , gula pasir , merica , kecap manis , pelengkap , cabai rawit , daun seledri , daun bawang , bawang goreng"
ayam kampung geprek sambal mangga,"ayam kampung , kunyit , jahe , bawang merah , ketumbar , garam , sambal , mangga muda , cabe merah , tomat hijau , garam , gula pasir"
chicken fajita ( easy ),"fillet dada ayam , bawang bombai tipis memanjang , paprika merah tipis memanjang , bonggol brokoli , olive oil minyak goreng , marinasi , air perasan lemon jeruk nipis , bawang putih haluskan , garam & merica , jinten , paprika smoked paprika bubuk"
ayam baputbar,"ayam potong , jeruk nipis , bumbu marinasi rendaman , maizena , saus tiram , biji ketumbar , bawang putih haluskan , garam , kaldu bubuk"
menu dinner trio tumis pokcoy ayam bawang putih bawang merah,"tumis pokcoy , batang pokcoy , bawang putih , kecap asin , air , gula , garam , ayam bawang , potong paha ayam , potong dadu , kecap manis , kecap asin , bawang putih , geprek kasar , garam , merica , kaldu jamur , jeruk limo , peras , tumis bawang merah , bawang merah , cabe hijau , cabe merah , cabe rawit , garam kaldu jamur"
olahan ayam isian roti/bapao,"ayam , cincang , batang daun bawang , saus tiram , tepung tapioka , cairkan air , garam merica"
spicy chicken ala korea,"potong ayam paha atas , tepung maizena , gula pasir , minyak wijen , bawang putih cincang halus , saus sambal , saus tomat , soy sauce , air , wijen , daun selada hijau"
steak ayam ala '',"burger ayam merk cha p , btg wortel , bonggol sawi hijau , saus , bawang putih , tomat , bawang bombai , saus tiram , kecap manis , garam , gula merica , air , maizena larutkan dgn air"
semur ayam telur puyuh,"dada ayam fillet potong dadu , telur puyuh rebus , daun salam , santan instan me kara , air , garam , gula , kecap , bawang goreng taburan , bumbu halus , bawang merah , bawang putih , cabe merah keriting , kemiri , lada , biji ketumbar"
ayam masak kemangi,"ayam , potong , serai , geprek , daun salam , daun kemangi , daun bawang , kaldu jamur , air jeruk nipis lemon , garam , bumbu halus , bawang merah , bawang putih , kunyit , jahe , kemiri , minyak u menumis"
sop ayam simpel ala warteg,"wortel potong , buncis potong , kentang potong , ga pake krn ga pny , kol kubis potong , tomat potong , ayam rebus dg api smp empuk , potong persegi , kaldu hasil rebusan ayam , btg daun bawang , daun seledri , bawang putih , merica bulat , pala , gula garam"
ayam geprek huhah,"ayam dada dibagi ? , cabe setan , bawang putih , tepung , biji telor , minyak utk"
crispy chicken fillet,"fillet ayam , merica bubuk , garam , celupan kering , tepung bumbu sasa , full tepung terigu , tepung maezena , kaldu bubuk , celupan cair , tepung terigu , air"
ayam keremes ala akk,"ayam kampung potong ayam utuh , jeruk nipis , daun salam , bawang putih halus bawang putih powder , air kelapa , gula merah sisir , kecap manis , garam , minyak utk , bumbu halus , bawang merah , bawang putih , merica butiran , lengkuas muda , keremesan , tepung tapioka , tepung beras , air , bawang putih haluskan bawang putih powder , kuning telur , garam , kaldu bubuk , baking powder , minyak utk"
ayam kecap saos mentega penuh cinta," ayam dipotong , bawang putih , jahe ujung kelingking , daun salam , serai , tepung maizena , bawang putih , bawang merah , bawang bombai , lengkuas ujung kelingking , daun salam , mentega , kecap , saos tiram , garam , micin , saos tomat , ladaku , cabe merah"
siomay ayam simpel,"daging ayam , lada , penyedap , daun bawang , wortel parut serut , kulit pangsit , tepung kanji tapioka , tepung terigu , saos raja , daun bawang"
ayam teriyaki simple,"ptg ayam sayap , bawang bombai , saus tiram , bubuk lada hitam , air , minyak goreng"
siomay ayam simple,"ayam tulang cincang halus , telur , garam , merica , gula , minyak wijen , saus tiram , tepung maizena , bawang putih parut , daun bawang halus , parutan wortel toping , kulit lumpia"
krengsengan ayam/ krongkongan ayam,"krongkongan ayam , iket sawi , sawi putih , cabe merah , bawang putih , kemiri , kalo pake bawang merah silahkan pake karna pas habis , air putih , kecap , kecap asin , penyedap ayam , garam , gulput , sdikit minyak menumis , cabe bubuk , merica , saos raja pake karna habis"
ayam bakar super simpel,"ayam sayap , air , bumbu , cabe , bawang merah , bawang putih , kunyit , jahe , garam , gula , daun salam"
pangsit ayam,"daging ayam giling , bawang putih , minyak wijen , saos tiram , kecap asin , batang daun bawang , merica , garam gula , kulit pangsit"
ayam suwir bumbu merah versi nyemek,"dada ayam , cabe kriting , bj cabe , terasi goreng , gula merah , gulagarammerica , vitsin tdk , bj jeruk limau , bj bawang merah , bj bawang putih"
eggroll isi ayam udang balita,"isi , ayam fillet paha ayam krn gurih , udang kupas kulitnya , tepung kanji , telur ayam kampung putih telurnya , daun pre , bumbu , bawang putih , garam , minyak wijen , saos tiram , gula , kulit , tepung terigu , telur , air"
bola bola ayam saus barbeque lada hitam,"bola bola ayam , daging ayam giling , tepung sagu telur garam , merica bubuk , bawang putih cincang halus , air es , saus , saus barbeque , bawang putih cincang halus , bawang bombai tipis , kentang , buncis , wortel , lada hitam , garam , gula"
minyak kulit ayam by bubu,"lemak ayam , air utk"
capcay ayam jamur endeus,"wortel tipis , genggam jamur kancing , tipis , potong ayam goreng dada , dadu , tomat memanjang , batang seledri halus , batang daun pre halus , kuah kaldu , bumbu , bawang putih , geprek , cincang , jahe , geprek , cabe rawit halus , merica bubuk , kecap ikan , kecap manis , gula pasir , secubit garam , penyedap"
chicken katsu with moza,"chicken katsu , dada ayam , bawang putih haluskan , garam , gula , merica , tepung terigu , telor kocok , tepung roti , saus moza ala , bawang putih kotak , saus sambal , saus tomat , kecap ikan , gula , kecap asin , mozarela , merica , air"
risoles ayam sayur,"ayam fillet , wortel , kentang , garam , lada , gula , bawang putih , terigu , telur ayam , air , tepung roti , minyak goreng"
bubur ayam praktis,"ayam , mangkok nasi , biji jagung , wortel , kacang tanah , telur , serei , daun sop seledri , garam , penyedap"
nugget ayam homemade,"dada fillet , wortel , telur , meizena , gula , garam , lada , royco ayam , bawang putih , minyak wijen , tepung roti , pencelup cair terigu"
chicken wings bakar kecap,"sayap ayam , bawang merah , bawang putih , cabe , cabe rawit , ketumbar , garam merica , kaldu ayam , gula jawa , kecap manis , air , butter"
sosis + ayam fillet saus blackpepper,"ayam fillet potong dadu , sosis , bawang bombai , saori saus blackpepper , margarin"
ayam geprek keju,"potong ayam fried chiken , bawang putih , bawang merah , cabe rawit setan , cabe merah , garam , gula putih , keju chedar , biar praktis , ayam nya chiken , suka pedas tinggal cabe rawit setan nya"
ayam popcron balado,"potongan ayam berbentuk dadu , tepung kentaky serba , minyak , bumbu balado bubuk"
ayam goreng telur asin/ chiken salted egg,"filet ayam , tepung bumbu sasa , telur asin , mentega , kaldu ayam bubuk , gula pasir , daun kari daun jeruk , bawang putih haluskan , susu cair , minyak goreng"
ayam goreng bacem,"ayam berat , bumbu dihaluskan , bawang merah , bawang putih , ketumbar , kunyit , jahe , lengkuas , bumbu tambahan , daun salam , serai geprek , garam , gula merah gula merah bentuk lingkaran"
ayam telur puyuh asam manis,"ayam dada , telur puyuh , cabe merah , bawang putih , bawang merah , bawang bombai , air , penyedap sejumput royco , saos sambal tomat ketchup"
ayam bumbu kuning kemangi,"ayam , bawang merah , bawang putih , cabe rawit tomat segar , kunyit , ketumbar , jinten , daun salam , daun serai , daun jeruk , kemangi segar , garam , gula , penyedap"
bola ayam isi telur puyuh,"ayam giling , terigu , telor puyuh , lada , garam , kaldu ayam , tepung roti , telur kocok lepas"
ayam jerit jeding,"dada ayam tampa lemak & tulang sh , daun kemangi , daun jeruk , daun salam , jahe , lengkuas , serai , bumbu sambel , cabai rawit orange , cabai merah kriting , bawang merah , bawang putih , bumbu ungkeb , bawang putih , kunyit , gul , gar , mericaput , air , minyak goreng"
sate ayam panci ajaib,"daging ayam tulang , bawang putih , bawang merah , ketumbar , garam , daun jeruk , daun salam , jahe , lengkuas , lumuran matang , mentega , kecap manis , gula merah disisir"
sate buntel ayam,"daging ayam cincang , tepung roti , kecap manis , telur kocok , bawang putih cincang , batang daun bawang tipis , minyak , tusuk sate , bumbu dihaluskan , bawang merah , biji ketumbar , garam , merica , sambel kecap , kecap manis , kecap asin , cabe rawit tipis , bawang merah tipis , tomat , jeruk limau potong"
tongseng ayam kebanjiran,"ayam paha pasang potong kya sayur sop , bumbu halus ditukang bumbu giling bilang untung tongseng , kol gk tau poknya ditukang sayur , tomat biji , daun bawang btg , cabe setan , kecap , bawang goreng taburan kembang kli ah ditabur , gula , garam , royco seleraqu eh salah , air deh"
ayam gemprek sabel bawang,"sayap ayam , bumbu ungkep , bawang merang , bawang putih , ketumbar , garam , micin , kuas kunir , daun salam , daun jeruk , serai , lengkuas , tepung serba"
ayam goreng lengkuas with creamy sauce,"potong paha ayam , papan tempe , tahu dipotong , slera , minyak kelapa , bumbu ungkep , bawang merah , bawang putih , jahe , kunyit , lengkuas muda ambil , daun salam , ketumbar , merica , himsalt kaldu bubuk , serai , geprak , air perasan jeruk lemon acv , saus krim , bawang bombai potong halus , bawang putih , geprak potong halus , merica bubuk , himsalt , cabe bubuk , whipped cream , keju parut , parutan kulit lemon penambah aroma , diabetasol , daun oregano parsley kering , butter"
tumis jamur tiram brokoli mix pentol ayam,"jamur tiram , brokoli berukuran , pentol ayam , bawang merah , bawang putih , cabe rawit , lengkuas , gula pasir , garam , penyedap magic"
chicken steak ala akari papa,"daging ayam paha , garam , lada , jeruk limo resep asli ngga pake , butter pake kotak hotel , saus , kecap asin lee kum kee premium resep asli pake kecap asin jepang , gula pasir , air , arak masak jepang resep asli ngga pake"
ayam crispy cabe garam,"potong dada ayam potong dadu , sajiku ayam crispy , minyak goreng , bawang putih cincang , cabe rawit cincang , mentega"
ayam cabai ijo,"ayam potong ungkep sebentar biar empuk , bawang bombai potong kasar , bawput cincang kasar , bawmer , cabai hijau , cabai rawit , daun salam , serai , saus tiramkecap abc pedas gurihgaramlada bubuk"
ayam goreng ungkep no msg,"potong ayam negeri , kurleb minyak goreng , air putih , bumbu daun , serai , daun pandan , daun salam , daun jeruk , bumbu halus uleg , serai putihnya , bawang merah , bawang putih , datar ketumbar butiran , kunyit , lengkuas , garam gula pasir"
ayam telur asin,"dada ayam potong dadu , telur asin matang , bawang bombai , tomat , cabai merah , cabai hijau , cabe rawit , bawang putih , bawang merah , garam"
tumis kailan ayam jamur berkuah,"kailan kailan organik , corn baby , tomat cherry , jamur kuping , dada ayam potong dadu , garam , kaldu jamur totole , merica , air matang , bawang putih"
buttermilk chicken stick,"dada ayam , fresh milk mix air lemon diamkan menit , bawang putih haluskan , garam , parsley kering , merica , tepung pake merk putri krn ga asin"
bakso ayam sayur debm,"ayam fillet , telur , plain , sayur , wortel , buncis , sawi putih , garam & royco"
botok ayam minimalis,"ayam , kelapa muda , daun pisang sbg pembungkus , bumbu , bawang merah , bawang putih , tomat potong dadu , cabai rawit , ketumbar , kunyit , gula merah , garam , masako ayam"
ayam lada teriyaki,"dada ayam potong dadu , buncis , cabai rawit jawa , cabai merah keriting , cabai warna hijau buang bijinya , bawang bombai , bawang merah , bawang putih , garam , saset sauri saus teriyaki , lada , air mineral"
ayam panggang manis,"ayam pejantan , bawang merah , bawang putih , kemiri , kunyit , jahe , lengkuas , serai , daun salam , daun jeruk , cabe , kecap manis , garam , gula kaldu jamur , minyak air , mentega"
rica rica ayam kemangi,"ayam potong , minyak menumis bumbu , bawang merah , bawang putih , lada , tomat , kunyit , jahe , air kemangi , daun jeruk salam , serai"
chicken pop pedas manis,"fillet dada ayam , jeruk nipis , bawang putih cacah halus , garam , merica bubuk , tepung krispi instan , saus asam manis , bawang putih tipis , bawang bombai tipis , saus tomat , saus sambal , cabe merah tipis+buang bijinya , kaldu ayam , magic lezat , ladaku , garam , gula , air , maizena cairkan dgn air"
opor ayam lontong,"lontong matang , dada ayam , kerupuk merah , bumbu halus , bawang merah , bawang putih , merica , kemiri , kunyit , jahe , cabe merah , cabe merah keriting , gula garam , penyedap , santan kara , minyak menumis , bawang goreng taburan , daun salam , daun serai , sambal , cabe merah , cabe merah keriting , bawang putih , garam"
ayam saus asam manis,"ayam fillet , brokoli , paprika merah , paprika hijau , bawang bombai , bawang putih , saori saus asam manis"
rica ayam,"ayam potong , bumbu halus , bawang putih , bawang merah , cabe rawit , cabe merah , kemiri , merica , garam , kunir , jahe , pelengkap , serai , laos , salam , daun jeruk , gula merah sisir , tomat potong tipis , bawang goreng , penyedap , air"
ayam bumbu hitam madura ( bumbu bebek madura ),"ayam , bawang merah , bawang putih , cabe rawit merah , kemiri , jahe , kunyit , kencur , bumbu rempah , serai geprek , daun jeruk , lengkuas , asam jawa , gula , garam , air putih , minyak goreng"
ayam tepung penyet,"potong fried chicken , cabe rawit merah , bawang putih , minyak , garam , penyedap"
ayam pentol,"sayap ayam , tepung terigu , garam , merica , bawang putih pake powder bawang putih , steak spice"
siomay ayam segitiga,"daging ayam blender halus , batang daun bawang & seledri cincang halus , wortel dicampur adonan , hiasan diatas , saus tiram , bumbu penyedap , telur ayam , tepung sagu , kulit pangsit"
ayam woku ala mamais,"ayam , potong kucuri jeruk nipis kalo pake ayam kampung dibersihin rebus empuk , btg serai geprek , tomat , garam , sejumput gula pake tropicana , kaldu non msg , bawang pre gapake gapapa , kemangi , daun salam , daur jeruk , air , bumbu halus , bawang putih , bawang merah , kemiri , cabe merah , cabe rawit ayah mecca gabisa pedes banget , kunyit kurus , jahe"
ayam kemangi pedas,"ayam , kemangi , daun jeruk , bumbu dihaluskan , bawang merah , bawang putih , cabe merah , cabe rawit suka pedas , kunir , serai geprek , laos geprek , gula"
ayam goreng bumbu sederhana pastinya enak,"ayam bersihkan , haluskan , lengkuas , jahe , kunyit , daun jeruk , bawang putih , bawang merah , daun serai , salam , air , garam , minyak goreng"
ayam crispy jamur saus tiram,"ayam fillet ak potong paha pt dada potong slera , kaleng jamur kancing , tepung bumbu , tepung sagu tani , saus tiram , kecap manis , kecap asin , lada , kaldu jamur non msg , bawang putih , bawang bombai"
tumis ayam bumbu kuning,"dada ayam fillet , kol , wortel , batang daun bawang , bumbu halus , bawang merah , bawang putih , kunyit , jahe , lengkuas , cabai , merica bubuk , garam , gula , penyedap , air"
pangsit ayam kuah,"pangsit ayam , kuah , air , bawang putih , haluskan , lada , minyak wijen , kecap asin , kecap ikan , btg daun bawang , tipis , garam & royco , minyak goreng"
mangut ayam,"ayam , potong , daun kemangi , buang tangkai nya , kara , salam , serai , daun jeruk , garam , gula , masako , asam jawa , air , minyak menumis , bumbu dihaluskan , ketumbar , jahe , bawang putih bawang merah , kunyit , kemiri"
cilok kukus & krispi isi ayam,"tepung kanji sagu tani , tepung terigu protein , bawang putih , haluskan , merica bubuk , garam , ukur , kaldu bubuk ayam , gula pasir , air kaldu ayam air , daun bawang , rajang halus , seledri , rajang halus , wortel , serut parutan keju , ayam rebus , suwir suwir"
nugget ayam gurih,"dada ayam ambil dagingnya , bawang putih , bawang merah , penyedap sasa masako royko , garam , tepung tapioka , tepung terigu , tepung maizena , telur , sndok tepung beras terigu , air , tepung panir roti"
ayam kecap kentang,"daging ayam blh , kentang blh , daun salam , bawang bombai , serai , lengkuas , daun jeruk , jahe , lada , gula , garam , kecap manis , penyedap sejumput , air utk merebus ayam , daun bawang , bumbu halus , bawang merah , bawang putih , kemiri"
ampela ayam sambel bawang,"ampela ayam , jeruk nipis , sckp garam , daun jeruk , bawang merah , gula penyedap , bumbu halus , cabe merah , cabe rawit , bawang putih , terasi , tomat , garam"
bubur labu+ayam kampung,"ayam kampung dada , genggam beras , santan kental , kaldu , daun salam , sejumput garam , genggam labu siam dadu diganti"
masak ayam ( ala vietnam_ ),"dada ayam fillet , bawang putih tambahi suka , saus ikan fish sauce , madu , daun jeruk tambahi suka daun jeruk , loncang , merica halus , garam"
ayam geprek jeletot,"potong sayap ayam , bumbu haluskan , kunyit , bawang merah , bawang putih , kemiri , lada , jahe , daun salam , daun jeruk , sambal gepreknya , rawit jawa , bawang merah , bawang putih , garam , penyedap , gula , minyak goreng"
semur jantung ayam,"jantung ayam , kentang , potong dadu & goreng , lengkuas , geprek , cengkeh , cabe rawit merah , air , bumbu halus , bawang merah , bakar , bawang putih , bakar , kemiri , bakar , ketumbar , sangrai , pala , lada , garam , kaldu jamur , kecap , bawang goreng"
garang asem ayam jamur,"ayam , potong , jamur merang , potong , jamur shimeji coklat , santan kental instan , lengkuas , geprek , serai , geprek serehnya , daun salam , daun pisang , garam , gula , kaldu jamur , bumbu halus , bawang putih , bawang merah , kemiri , ketumbar , bumbu diiris , belimbing wuluh , tomat , potong , cabe merah keriting , cabe hijau keriting , batang daun bawang"
sup tomyam ayam sederhana,"ayam kampung potong , tofu , jamur , baso , air , tumis , tomat belah , bawang putih cincang , serai geprek , jahe , lengkuas , kecap asin , perasan jeruk nipis , garam , gula , sambal bangkok klo tdk suka pedas"
sempol ayam tergampang,"tepung terigu , daging ayam dada , tepung tapioka , royco ayam , merica , telur , bawang putih , bawang merah , irisan daun bawang , tusuk sate stik ice cream"
nugget chicken carrot,"ayam dada , fillet , telur ayam , wortel , parut parutan keju , terigu kunci biru , bawang putih , bawang merah , garam , kaldu jamur no msg , aman anak , lapisan , tepung panir roti , terigu dicairkan , tdk encer tdk kental"
ayam kecap barbeque,"ayam negri ganti ayam kampung potong , bawang bombai , potong memanjang , halus , bawang putih sesang , cincang kasar , saus barbeque , merk delmonte , kecap manis , air , terigu dicairkan dgn air , margarin palmia bawang putih , sm minyak goreng ambil minyak goreng ayam , minyak goreng utk ayam , air utk merebus ayam"
ayam geprek dower,"ayam kurleb , tepung sasa tepung fried chicken , tepung terigu , minyak goreng , jeruk nipis , cabe rawit merah , cabe rawit ijo , cabe merah keriting , terasi , garam"
ayam geprek dadakan,"potong ayam , tepung chicken , bawang biji , cabai rawit , garam"
ayam bakar manis,"ayam , batang daun serai memarkan , air kelapa , kecap manis olesan , bumbu ungkep , bawang merah , bawang putih , cabai merah , ketumbar , kemiri , kecap manis , garam , penyedap"
chicken doritos,"potong dada ayam , tepung terigu , air , doritos , garam lada , perasan air lemon"
mie ayam sayur kw,"kilo mie kuning , pelengkap , wortel , potong korek , kentang , potong korek , timun , potong korek , sejumput taoge , kilo daging ayam , potong dadu , bumbu , biji cabe rawit , bawang merah , bawang putih , tomat , terasi , garam , saus tiram , + terigu"
ayam kentucky ala bunda,"sayap ayam , tepung terigu , tepung maizena , baking powder , mrica bubuk , kaldu ayam , bubuk bawang putih , bawang putih , merica , garam , air"
lumpia isi ayam,"ayam cincang , wortel potong kotak , bawang putih , bawang merah , daun bawang , merica , garam , gula , air , kulit lumpia"
grilled chicken veggies,"ayam fillet potong , brokoli , potong , wortel , potong kotak memanjang , buncis , potong , bawang bombai , saus tiram , lada , garam halus , mentega , kentang"
ayam geprek sambel judes ( juara pedes ),"ayam crispy , ayam negeri , tepung bumbu ayam crispy , air matang , minyak , sambal geprek , biji cabe rawit merah , garam , bawang putih , ¹ penyedap ayam , minyak"
ayam rempah kuning,"sayap ayam , bumbu blender , bawang putih & bawang merah , cabe rawit sesui , kunyit , rempah , adas , jinten , cengkeh , daun jeruk , daun kunyit , pala , daum salam opsi , santan kara , garam , gula , daung kenikir & kemangi"
ayam bakar ala resto padang,"bumbu halus , bawang merah , bawang putih , genggam cabe merah kriting , jahe , kunyit , ayam pejantan kampung muda , daun jeruk , sobek , serai , geprek , daun kunyit diikat , lebar halus , santal kental , garam , kaldu bubuk , gula , air"
ca brokoli wortel baso ayam,"wortel , tangkai brokoli , bakso ayam , cabai merah , bawang bombai , bawang putih , tepung maizena tapioka dilarutin air , gula , garam , lada , kaldu jamur , air minyak goreng"
chicken steak with bbq mushroom sauce,"fillet dada ayam , telur , tepung beras , tepung bumbu , lemon , saos , bawang bombai , jamur kancing , tepung maizena , butter , bbq sauce , tambahan , potongan dadu sayur jagung , buncis , wortel , kacang polong , kentang , lada , garam , oregano , minyak"
mie ayam ekspresss,"biji mie burung dara mie , ayam , bumbu ayam , bawang putih , bawang merah , kemiri , biji lombok , lada , kaldu ayam bubuk , garam , kecap , acar , biji timun , biji lombok rawit , gula , secubit garam , cuka , kuah , tulangan ayam ceker , air , kaldu bubuk , garam"
ayam telor woku,"ayam , telor , kemangi , bawang merah , bawang putih , kemiri , merica , cabe rawit , cabe keriting , cabe merah , jahe , kunyit , serai digeprek , daun salam sobek sobek , daun jeruk sobek sobek , kayu manis , daun pandan pengganti daun kunyit , penyedap magic , air , minyak goreng"
gulai ayam kampung,"potong ayam kampung , kentang , pelengkap , gula , garam , kaldu jamur , asam jawa , bawang merah halus , serai halus , tangkai daun kari temurui salam koja ambil daun buang tangkai , daun mangkokan tapak liman halus , daun jeruk , daun pandan , santan instan , bumbu halus , bawang merah , cabai rawit , cabai kering rendam air panas mnt tiriskan , cabe keriting , bawang putih , jempol jahe , kunyit , ambu² kelapa gongseng , aweuh campur jinten , ketumbar , kapulaga , bunga lawang , pala , jinten putih"
ayam kecap padang,"ayam , bawang bombai , bawang putih , kemiri , pala , daun jeruk , asam kesturi diganti , kecap , rawit hijau utuh , rawit hijau potong , margarin , air , garam merica"
crispy chicken honey spicy / ayam goreng madu pedes garing,"ayam paha , ketumbar , perasan air lemon , garam , merica , tepung maizena , tepung goreng ayam , minyak ayam , saos , bawang putih cincang halus , campur mangkuk , saos sambal botolan , saos tomat botolan , saos tiram , kecap manis , minyak wijen , madu , perasan air lemon , gula pasir , campur smua saos atas mangkok aduk , margarin , minyak , garam , penyedap merica"
ayam rica balado pedas,"ceker , kepala , sayap ayam , bawang merah , bawang putih , laos , kunyit , cabe merah , cabe rawit , tomat , bawang bombai , gula , garam , penyedap , merica bubuk kecap , daun bawang pelengkap , daun salam , daun jeruk , minyak menumis , air"
ayam saos mentega saori,"fillet ayam , royko , bawang bombai , saori saos mentega , air"
ayam goreng minim bumbu,"daging ayam ayam ukurannya , bawang putih , merica , garam"
sop ayam kacang merah,"ayam potong , kacang merah direbus , kentang , wortel , jamur kuping , bumbu halus , garam gula , bawang merah , bawang putih , merica , ketumbar , jahe"
oseng kulit ayam cabe gendot,"kulit ayam , bersihkan potong , himsalt , penyedap , kecap manis tropicanaslim , bumbu , bawang putih , bawang merah , cabe gendot , serong"
kare ayam khas solo,"potong dada ayam , kentang , soun , santan santan instan diencerkan , tomat , daun salam , lengkuas , memarkan , daun jeruk , garam , gula putih sbg pengganti penyedap , gula merah , seledri bawang goreng taburan , bumbu halus , bawang merah , bawang putih , kemiri , ketumbar , kunir , sambal , bawang putih , bawang merah , cabe merah , cabe rawit , suka pedas , garam , gula merah , santan"
sayap ayam goreng,"sayap ayam , kemiri , kunyit , bawang merah , bawang putih , kecap manis , garam , penyedap , minyak"
ayam rica super hotttt,"ayam kampung potong , jeruk nipis , lengkuas memarkn , serai memarkn , daun pandan pot bgian , lmbsr daun kunyit simpul , daun jeruk , daun kemangi , tangkai daun bawang , garam secukpnya , penyedap , minyak goreng u menumis , air , bumbu halus , bawang putih , bawang merah , jahe , kunyit , bj cabe rawit , serai potg halus , lengkuas potong halus"
arem arem isi wortel ayam kentang,"beras pulen , santan , garam , daun salam , bg serai , geprek putih , daun pisang membungkus lidi , isian , daging ayam suwir , kentang , potong dadu , wortel , potong dadu , bawang merah , halus , bawang putih , geprek cincang halus , air matang , garam , gula kaldu ayam non msg , daun salam , serai , geprek putihnya , margarin menumis"
ayam saus tiram asem pedes gurih,"ayam , potong kl bilang jual ayam potong masak sop , bawang putih geprek cincang , bawang merah potong tipis , cabe rawit kl pedes , kl cabenya hihi , bawang bombai halus , garam , gula , crot saus tiram , kecap manis , belimbing sayur tambahin biar seger gitu ganti pake air jeruk nipis , tepung maizena larutin air seperempat , puncuk daun bawang , tomat , penyedap"
ayam goreng tepung krispi,"ayam , tepung bumbu pake kobe , maizena , tepung protein , minyak goreng , baking powder"
ayam geprek super simple ala anak kos,"dada ayam , tepung crispy kobe , lada , cabai rawit setan , bawang putih , minyak goreng ayam"
chicken sphagetti carbonara,"spageti la fonte , bawang putih , ayam , mentega , telur , keju cheddar , garam , lada"
kare ayam ( khas boyolali ),"ayam rebus , goreng suwir , kentang kupas tipis rendam air garam mnit llu goreng , soun bihun rendam air panas tiriskan , wortel kupas potong rebus , batang sledry tipis , batang daun bawang tipis , bumbu , bawang merah , bawang putih , ketumbar , jinten , merica lada , kunyit goreng , kemiri , pala , cengkeh , kayu manis , rempah , daun salam , lengkuas , serai geprek , kapulaga , santan , kekentalan , garam , vitsin , gula pasir"
chicken crispy steak endesss,"daging steak campur , marinade jam semaleman , fillet ayam , tipis , saus tiram , kecap asin , merica bubuk , tepung bumbu serba , pencelup telor kocok lepas , brown souce , bawang bombai , cincang , bawang putih , cincang , muncung margarin , saus tiram , kecap manis , kecap asin , saus spicy bbq , merica bubuk , garam halus , air , tepung maizena larutkan air matang , pelengkap , kentang , goreng , buncis , rebus , wortel , rebus , minyak goreng"
plecing ayam khas lombok,"ayam , bumbu halus , bawang putih bnyk enak , cabe merah , cabe rawit , terasi , gula merah , gula pasir , garam , penyedap , jeruk limo"
ayam goreng pedas saos tiram,"potong ayam , batang daun bawang , cabe rawit belah , garam , gula lada , saos tiram pake saori , bawang merah , bumbu halus , cabe merah , bawang merah , bawang putih"
ayam goreng saus teriyaki,"ayam perasan jeruk nipis , bawang merah , bawang putih , saus teriyaki saori , minyak"
ayam tumis asam manis,"ayam , bawang merah , bawang putih , tomat , kecap manis , garam , merica , asam jawa , gula jawa"
jamur ayam crispy saus tiram pedas,"jamur kancing , dada ayam filet , bumbu , bawang merah , bawang putih , bawang bombai , cabai setan , bumbu pelengkap , garam , gula , penyedap , saus tiram"
kulit ayam crispy,"kulit ayam , tepung beras pkai rose brand , bumbu halus , bawang putih , biji ketumbar , garam penyedap , minyak utk"
ayam suwir jamur,"ayam filet , bngkus jamur , daun salam , daun jeruk , bumbu halus , bawang merah , bawang putih , cabe rawit , cabe merah , gula , garam , merica"
ayam geprek crispy,"potong ayam paha atas , telur , kulit crispy , tepung terigu , garam penyedap , lada , baking powder , aci , air , sambal , cabai rawit , bawang putih , bawang merah , rampai , garam , gula"
ayam krispi ala rumahan,"potong daging ayam , tepung trigu , tepung aci , tepung beras rosbrand , masako , telor , minyak mnggoreng , bumbu ungkep , bawang putih , jahekunirgaram secukup ny uleg"
mie ayam jamur simple,"mie indomie mie burung dara , sawi , jamur merang , ayam dikukus digoreng , bumbu halus ayam , merica , kemiri , bawang putih , bawang merah , kunyit , garam , cabe kalo pedas , kecap manis , daun salam , lengkuas , kuah , bawang putih , masako , pelengkap , mentimun , bawang merah goreng , daun bawang"
sup ayam sayur,"ayam , wortel , kentang , sawi hijau , daun bawang , seledri , bawang putih , lada , gula garam , penyedap , air"
ayam bugolgi,"ayam , tepung sajiku , jeruk nipis penghilang amis ayam , bumbu , bawang putih , bawang bombai , garam , gula pasir , saus tomat , saus sambal , merica"
ayam tepung pokcoy,"ayam fillet dada , tepung serba , pokcoy , bawang putih , garam , merica , gula , air"
ayam cincang + ketang masak kecap,"ayam cincang , bawang merah , bawang putih , sdk kecap asin , sdk kecap manis , garam , gula , merica , air , kentang"
